"","Year","country_code","country_name","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"104",2011,"LTU","Lithuania",53.1069984436035,NA,58.9893,"Yes",19.1,66.9560012817383,NA,19.1
"105",2011,"LUX","Luxembourg",49.4080009460449,3.603,NA,NA,25,85.4069976806641,2.7352607,25
"106",2011,"MLT","Malta",35.4580001831055,NA,56.50509,NA,8.7,74.3119964599609,NA,8.7
"107",2011,"NLD","Netherlands",58.0929985046387,1.51,51.82266,"Yes",39.1,80.0469970703125,2.8843536,39.1
"108",2011,"POL","Poland",48.3720016479492,1.289,59.86606,"Yes",21.8,56.4189987182617,2.3905897,21.8
"109",2011,"PRT","Portugal",54.6129989624023,1.207,53.40855,"Yes",28.7,62.9360008239746,3.3078232,28.7
"110",2011,"ROU","Romania",46.1500015258789,NA,55.97769,"Yes",9.7,42.1809997558594,NA,9.7
"111",2011,"SVK","Slovak Republic",50.2099990844727,2.011,59.61998,"Yes",16,59.431999206543,2.6349208,16
"112",2011,"SVN","Slovenia",52.3540000915527,2.14,60.62688,"No",23.1,59.7430000305176,2.6689343,23.1
"113",2011,"ESP","Spain",52.1259994506836,1.349,53.88012,"Yes",34.9,74.1399993896484,2.5578232,34.9
"114",2011,"SWE","Sweden",59.423999786377,3.454,59.10491,"Yes",44.7,78.0839996337891,2.5170066,44.7
"115",2011,"GBR","United Kingdom",55.5190010070801,3.953,56.352,"Yes",22.1,79.6029968261719,1.7585034,22.1
"116",2011,"USA","United States",56.9290008544922,0.722,56.96252,"Yes",16.9,79.7809982299805,1.1714286,16.9
"117",2012,"AUT","Austria",54.3359985351563,2.561,NA,NA,28.7,69.245002746582,2.4421768,28.7
"118",2012,"BEL","Belgium",46.8899993896484,2.796,55.48741,NA,38.9,77.0719985961914,2.9948978,38.9
"119",2012,"BGR","Bulgaria",47.8230018615723,NA,54.6371,NA,22.9,62.2379989624023,NA,22.9
"120",2012,"HRV","Croatia",44.556999206543,NA,56.67402,NA,23.8,59.8349990844727,NA,23.8
"121",2012,"CYP","Cyprus",56.1809997558594,NA,53.0593,NA,10.7,76.9169998168945,NA,10.7
"122",2012,"CZE","Czech Republic",50.0660018920898,2.181,57.24848,NA,20.6,58.8269996643066,2.6604307,20.6
"123",2012,"DNK","Denmark",59.1080017089844,3.692,57.40212,NA,39.1,77.6969985961914,2.3202949,39.1
"124",2012,"EST","Estonia",55.3610000610352,2.029,59.16103,NA,20.8,64.4029998779297,2.0663266,20.8
"125",2012,"FIN","Finland",55.9440002441406,3.195,53.67178,NA,42.5,73.0550003051758,2.1666667,42.5
"126",2012,"FRA","France",50.9309997558594,2.885,54.83328,NA,25.1,75.3209991455078,2.8225625,25.1
"127",2012,"DEU","Germany",53.7039985656738,2.124,NA,NA,32.4,70.2460021972656,2.8418367,32.4
